Time     Temperature!     Force
64.323000 28.000000 28.000000 
64.644000 35.640000 35.640000 
64.764000 28.000000 28.000000 
65.101000 35.550000 35.550000 
65.222000 28.000000 28.000000 
65.563000 35.580000 35.580000 
65.683000 28.000000 28.000000 
66.004000 35.520000 35.520000 
66.125000 28.000000 28.000000 
66.466000 35.600000 35.600000 
66.586000 28.000000 28.000000 
66.925000 35.600000 35.600000 
67.045000 28.000000 28.000000 
67.364000 35.530000 35.530000 
67.484000 28.000000 28.000000 
67.823000 35.580000 35.580000 
67.944000 28.000000 28.000000 
68.282000 35.520000 35.520000 
68.404000 28.000000 28.000000 
68.724000 35.510000 35.510000 
68.844000 28.000000 28.000000 
69.186000 35.530000 35.530000 
69.308000 28.000000 28.000000 
69.647000 35.520000 35.520000 
69.767000 28.000000 28.000000 
70.088000 35.470000 35.470000 
70.209000 28.000000 28.000000 
70.550000 35.460000 35.460000 
70.671000 28.000000 28.000000 
71.010000 35.510000 35.510000 
71.131000 28.000000 28.000000 
71.450000 35.380000 35.380000 
71.570000 28.000000 28.000000 
71.910000 35.450000 35.450000 
72.031000 28.000000 28.000000 
72.371000 35.380000 35.380000 
72.492000 28.000000 28.000000 
72.810000 35.400000 35.400000 
72.930000 28.000000 28.000000 
73.271000 35.450000 35.450000 
73.393000 28.000000 28.000000 
73.733000 35.400000 35.400000 
73.853000 28.000000 28.000000 
74.173000 35.370000 35.370000 
74.294000 28.000000 28.000000 
74.633000 35.370000 35.370000 
74.753000 28.000000 28.000000 
75.094000 35.380000 35.380000 
75.214000 28.000000 28.000000 
75.531000 35.380000 35.380000 
75.652000 28.000000 28.000000 
75.990000 35.340000 35.340000 
76.110000 28.000000 28.000000 
76.449000 35.320000 35.320000 
76.570000 28.000000 28.000000 
76.909000 35.350000 35.350000 
77.030000 28.000000 28.000000 
77.349000 35.370000 35.370000 
77.470000 28.000000 28.000000 
77.810000 35.330000 35.330000 
77.931000 28.000000 28.000000 
78.249000 35.270000 35.270000 
78.373000 28.000000 28.000000 
78.713000 35.300000 35.300000 
78.833000 28.000000 28.000000 
79.172000 35.260000 35.260000 
79.292000 28.000000 28.000000 
79.634000 35.220000 35.220000 
79.753000 28.000000 28.000000 
80.073000 35.270000 35.270000 
80.193000 28.000000 28.000000 
80.532000 35.300000 35.300000 
80.653000 28.000000 28.000000 
80.993000 35.260000 35.260000 
81.114000 28.000000 28.000000 
81.432000 35.220000 35.220000 
81.553000 28.000000 28.000000 
81.896000 35.190000 35.190000 
82.016000 28.000000 28.000000 
82.333000 35.240000 35.240000 
82.455000 28.000000 28.000000 
82.792000 35.130000 35.130000 
82.913000 28.000000 28.000000 
83.256000 35.190000 35.190000 
83.376000 28.000000 28.000000 
83.716000 35.190000 35.190000 
83.836000 28.000000 28.000000 
84.156000 35.140000 35.140000 
84.276000 28.000000 28.000000 
84.616000 35.190000 35.190000 
84.736000 28.000000 28.000000 
85.058000 35.140000 35.140000 
85.178000 28.000000 28.000000 
85.520000 35.120000 35.120000 
85.642000 28.000000 28.000000 
85.982000 35.120000 35.120000 
86.102000 28.000000 28.000000 
86.420000 35.080000 35.080000 
86.529000 28.000000 28.000000 
86.875000 35.130000 35.130000 
86.995000 28.000000 28.000000 
87.334000 35.120000 35.120000 
87.454000 28.000000 28.000000 
87.794000 35.140000 35.140000 
87.914000 28.000000 28.000000 
